Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Giveaways
shongxbong,400635750,50310,94869,7656,845158,671127,4198232,TRUE,FALSE,Arabic,TRUE
StaysafeTV,399746130,135180,15608,2876,149648,73218,7427189,TRUE,TRUE,English,TRUE
Loeya,398289900,150495,7955,2635,1233300,337821,19024045,TRUE,FALSE,English,TRUE
RiotGamesJP,390922410,26325,60682,13675,141684,36105,9101692,TRUE,FALSE,Japanese,TRUE
btssmash,389890800,362970,94083,1061,216558,81658,6933788,TRUE,FALSE,English,TRUE
PietSmiet,387717165,84495,39004,4147,576903,122061,11483357,TRUE,FALSE,German,TRUE
Payo,385755615,137400,12274,2772,175503,112595,11672019,TRUE,FALSE,English,TRUE
Shotz,385739280,153105,10316,2523,159763,48388,5464553,TRUE,TRUE,English,TRUE
실프_ (silphtv),385176540,197055,9401,1891,309065,87400,7215989,TRUE,FALSE,Korean,TRUE
m0xyy,384746505,136095,25387,2431,461534,269311,6207063,TRUE,FALSE,English,TRUE
LexVeldhuis,380251830,73935,58416,4939,244467,66680,14339774,TRUE,FALSE,English,TRUE
NateHill,379971075,111555,41610,3311,1055613,449635,14221498,TRUE,FALSE,English,TRUE
Shaunz,379800060,97860,20861,3791,148568,84393,10605782,TRUE,FALSE,French,TRUE
Emongg,379682235,155910,21922,2228,504653,156093,5794763,TRUE,FALSE,English,TRUE
fl0m,379633995,188070,19318,1931,658323,183265,11489901,TRUE,FALSE,English,TRUE
AsmodaiTV,379345935,132360,11751,2796,247056,30588,6547592,TRUE,FALSE,English,TRUE
Homyatol,378734925,70725,26274,4826,375749,249186,6981248,TRUE,TRUE,Italian,TRUE
Grimmmz,377312595,176580,21993,2153,1001739,37734,7803917,TRUE,TRUE,English,TRUE
aXtLOL,376430955,73815,25340,4991,763886,193266,8969210,TRUE,FALSE,Portuguese,TRUE
boyMinORu,376358805,142830,22141,2717,367223,73551,17822170,TRUE,TRUE,Thai,TRUE
just_ns,376209315,93615,37023,3969,341549,66811,12351240,TRUE,FALSE,Russian,TRUE
BurkeBlack,372767025,171675,4922,2154,276421,13471,5367772,TRUE,TRUE,English,TRUE
Trick2g,371417130,132945,28917,2650,1476226,115863,8688676,TRUE,TRUE,English,TRUE
FORMAL,369971310,137190,16518,2391,512592,176173,4803076,TRUE,FALSE,English,TRUE
Fortnite,369166335,12030,169084,28584,3558217,1163448,21509520,TRUE,FALSE,English,TRUE
Magic,362552205,43350,114234,5123,365714,50355,18694298,TRUE,FALSE,Spanish,TRUE
Xari,361741665,80535,28830,4841,269447,147894,5746209,TRUE,FALSE,French,TRUE
RocketBeansTV,360858030,518415,5223,696,416018,27024,5973152,TRUE,FALSE,German,TRUE
ANGRYPUG,360278835,184845,9822,1892,366463,48331,4962556,TRUE,TRUE,English,TRUE
MarcaoRX,359273445,336690,5210,1258,166594,65904,4541683,TRUE,TRUE,Portuguese,TRUE
yamatonjp,359095725,159420,8247,2269,179920,67794,10882318,TRUE,FALSE,Japanese,TRUE
btscsgo,357966315,57165,74949,6530,219539,166599,9173781,TRUE,FALSE,English,TRUE
Skyyart,356907810,111165,32577,2311,598579,239491,8203617,TRUE,FALSE,French,TRUE
gratis150ml,356697420,198075,9601,1801,741652,129328,12187175,TRUE,FALSE,Portuguese,TRUE
ShivFPS,355389630,203175,7216,1782,236407,174213,6900666,TRUE,FALSE,English,TRUE
Ponce,355091505,111360,23255,3043,242969,196880,13687141,TRUE,FALSE,French,TRUE
Distortion2,354144315,170220,11495,1953,314170,44982,5500067,TRUE,TRUE,English,TRUE
boxbox,353396640,117720,25314,2717,1717150,145809,9971842,TRUE,FALSE,English,TRUE
강지 (rkdwl12),353381040,141450,29993,2484,507418,270927,12873339,TRUE,FALSE,Korean,TRUE
TheKAIRI78,353046060,50310,47081,6795,885915,650990,5134322,TRUE,FALSE,French,TRUE
RiotGamesRU,352700745,17880,73049,19753,173861,75538,6832561,TRUE,FALSE,Russian,TRUE
FPSThailand,351025410,158640,38563,2260,390579,74894,18596656,TRUE,FALSE,Thai,TRUE
김나성 (naseongkim),350120640,215505,7628,1584,103260,20536,8471746,TRUE,FALSE,Korean,TRUE
오킹 (obm1025),346276365,96000,19328,3563,428179,244442,8920133,TRUE,FALSE,Korean,TRUE
singsing,346171920,126795,11839,2735,572005,45761,6526670,TRUE,TRUE,English,TRUE
BlackUFA,345166455,88035,10349,3889,279922,34803,12888906,TRUE,FALSE,Russian,TRUE
QuattroAce,342273825,185715,48810,1696,157620,136490,7245324,TRUE,FALSE,Russian,TRUE
bateson87,342162660,98730,20204,3344,598678,254821,16648694,TRUE,FALSE,English,TRUE
Staiy,341874270,91545,15429,3711,259624,90591,5503882,TRUE,FALSE,German,TRUE
polsatgames,340417455,57870,66706,5695,141026,74586,16290334,TRUE,FALSE,Polish,TRUE
NymN,340095510,100125,23488,3402,241746,111122,4409296,TRUE,TRUE,English,TRUE
orangemorange,338213940,122835,18387,2653,261139,85861,9889442,TRUE,FALSE,German,TRUE
MinosTV_,338084550,167190,24576,2034,204605,192534,5554989,TRUE,TRUE,French,TRUE
NairoMK,335695215,106200,22074,3054,339545,69474,6132895,TRUE,FALSE,English,TRUE
철면수심 (109ace),335311860,145425,12180,2202,166726,35165,7631326,TRUE,FALSE,Korean,TRUE
UnknownxArmy,333869670,92250,41700,3735,850944,836664,11325781,TRUE,FALSE,English,TRUE
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,TRUE,FALSE,English,TRUE
bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,TRUE,FALSE,Spanish,TRUE
Sjow,331726155,149700,8140,2189,240206,21662,3365340,TRUE,FALSE,English,TRUE
hardgamechannel,331308960,55125,27529,5711,786562,256678,10562872,TRUE,FALSE,Russian,TRUE
scoped,330160515,63360,47343,5165,731808,728892,8279834,TRUE,TRUE,English,TRUE
VooDooSh,329448660,137670,7560,2519,85678,66129,9003037,TRUE,TRUE,Russian,TRUE
WELOVEGAMES,328935150,116520,27956,2761,413458,49713,23682775,TRUE,FALSE,Russian,TRUE
StereOnline,327697680,400770,4227,785,327645,91352,4620985,TRUE,FALSE,Portuguese,TRUE
keanelol,327242790,147255,7208,2176,162917,85035,4068823,TRUE,FALSE,English,TRUE
살인마협회장 (sal_gu),326488155,122925,16252,2663,164092,45255,6226900,TRUE,FALSE,Korean,TRUE
sips_,325731015,108990,7872,2984,430755,84034,4331397,TRUE,TRUE,English,TRUE
ESL_CSGOb,325637220,52530,89949,5114,575769,183662,13742820,TRUE,FALSE,English,TRUE
kyo1984123,325018110,204975,5967,1516,135687,12731,12070678,TRUE,FALSE,Chinese,TRUE
midbeast,324433515,118005,16153,2652,330060,143256,10000927,TRUE,FALSE,English,TRUE
Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,TRUE,FALSE,Spanish,TRUE
Tumblurr,322841490,81210,17165,3846,353687,236441,4008897,TRUE,FALSE,Italian,TRUE
Veritas,320121405,135150,103833,1595,182492,131913,4176079,TRUE,FALSE,English,TRUE
daltoosh,319194420,154440,16445,2038,241602,163486,3665065,TRUE,FALSE,English,TRUE
ELoTRiX,319051995,56310,31194,5620,895851,318247,5587147,TRUE,TRUE,German,TRUE
TSM_Viss,316437645,117795,18844,2668,762778,101135,7091125,TRUE,FALSE,English,TRUE
Anthony_Kongphan,316366395,163920,49085,1858,462128,44534,6805829,TRUE,FALSE,English,TRUE
modestal,316203420,55455,25985,5660,323364,193939,11440074,TRUE,FALSE,Russian,TRUE
소풍왔니 (yumyumyu77),315613800,66315,24521,4496,309322,46911,13030325,TRUE,FALSE,Korean,TRUE
XEWER,315398565,189315,17100,1660,455056,215059,6449741,TRUE,FALSE,French,TRUE
blxckoutz,314656260,152970,18483,2566,482061,402587,8381945,TRUE,FALSE,Portuguese,TRUE
EASPORTSFIFA,313078095,12165,106126,24395,1287954,427684,11286667,TRUE,FALSE,English,TRUE
ALOHADANCETV,312898725,70320,18317,4288,555334,92209,12461610,TRUE,TRUE,Russian,TRUE
연두는말안드뤄 (rudbeckia7),311520135,126300,7111,2478,212053,24606,9675073,TRUE,FALSE,Korean,TRUE
Flashpoint,311325840,19320,77708,11713,93616,93120,27828448,TRUE,FALSE,English,TRUE
Steelmage,311218875,178485,10815,1696,60987,37839,7005761,TRUE,FALSE,English,TRUE
RoyalPhunk,311093010,104565,12141,2934,204451,34597,4921311,TRUE,TRUE,German,TRUE
Overpow,309892665,153015,10858,2004,254516,29344,9020762,TRUE,TRUE,Polish,TRUE
NeVeR_LosEs,309559170,82635,9671,3680,200953,23806,10608507,TRUE,FALSE,Chinese,TRUE
AvoidingThePuddle,309117315,80955,13108,3893,336181,67040,4202354,TRUE,TRUE,English,TRUE
Ko0416,307823730,200625,5448,1515,108784,12127,11705657,TRUE,TRUE,Chinese,TRUE
Dota2ruhub2,307331445,55230,54508,5158,248277,71813,13417924,TRUE,FALSE,Russian,TRUE
Slushpuppy,307001595,150525,118125,1560,122486,85852,5065635,TRUE,FALSE,English,TRUE
itmeJP,306920835,145950,24603,2079,369273,6134,10677522,TRUE,FALSE,English,TRUE
JesusAVGN,306076605,78315,43859,3838,682899,181914,13548535,TRUE,FALSE,Russian,TRUE
tarzaned,306010080,72390,14602,4159,388878,172683,7744943,TRUE,TRUE,English,TRUE
Mickalow,305967975,157260,37872,1830,864324,260914,8191116,TRUE,FALSE,French,TRUE
UNLOSTV,304599090,19995,128345,12171,1585519,571237,11452750,TRUE,FALSE,Turkish,TRUE
resttpowered,304222200,148335,9248,2072,252184,37681,8585834,TRUE,FALSE,Slovak,TRUE
Felps,303435945,96930,15553,3109,844681,284169,6099521,TRUE,FALSE,Portuguese,TRUE
Doublelift,301917225,20370,52584,13364,1389835,166536,7617972,TRUE,FALSE,English,TRUE
쉐리 (kss7749),301790445,115380,12295,2403,170718,19597,7546887,TRUE,FALSE,Korean,TRUE
Kiwo,299469345,234330,10836,1243,296481,38195,4900030,TRUE,TRUE,English,TRUE
adolfz,299235990,62520,15928,4926,294217,154653,2743587,TRUE,TRUE,Portuguese,TRUE
LigaPro1,298828170,232620,11533,1149,30986,29434,60922719,FALSE,FALSE,Other,TRUE
knekro,298811910,102210,13731,2912,260728,97206,10900480,TRUE,FALSE,Spanish,TRUE
Savjz,298693050,86205,12708,3401,542892,13967,4072337,TRUE,FALSE,English,TRUE
BobbyPoffGaming,298668465,224295,6453,1254,125803,81131,2208405,TRUE,FALSE,English,TRUE
The_Happy_Hob,295999245,106125,8560,2834,216106,38712,4158704,TRUE,TRUE,English,TRUE
Smurfdomuca,294868035,107055,18282,2843,267948,251923,5976634,TRUE,FALSE,Portuguese,TRUE
Timmac,294663825,191970,13500,1460,393639,32867,4232938,TRUE,FALSE,English,TRUE
Nikolarn,293952480,129510,30044,2279,526389,214216,3964166,TRUE,FALSE,English,TRUE
소우릎 (so_urf),293688270,167895,9665,1756,95477,44040,8120712,TRUE,FALSE,Korean,TRUE
RiffTrax,293583075,521445,24765,562,79099,17200,3313465,TRUE,FALSE,English,TRUE
pimpimenta,293014110,164940,20855,1744,828298,254312,12258152,TRUE,FALSE,Portuguese,TRUE
FACEIT TV (faceittv),292881510,35910,145470,9722,1681615,23166,17259602,TRUE,FALSE,English,TRUE
crokeyz,292698660,163095,5916,1796,68907,36715,3476636,TRUE,FALSE,English,TRUE
Letshe,291144945,80745,28808,3073,884661,687813,11561585,TRUE,FALSE,English,TRUE
SaltyBet,290991045,508140,3467,571,224099,69465,4509671,TRUE,FALSE,English,TRUE
소니쇼 (sonycast_),290499225,100605,7998,2840,255949,54706,10802748,TRUE,FALSE,Korean,TRUE
HGmony,290461620,111360,21999,2465,34358,32326,90310969,FALSE,FALSE,Russian,TRUE
jakenbakeLIVE,289531305,120435,23432,2375,489623,116554,7920696,TRUE,FALSE,English,TRUE
Syndicate,289369785,58695,22845,4281,3000509,282047,13227099,TRUE,FALSE,English,TRUE
RakanooLive,289110855,104535,22607,2726,1234662,471456,3836302,TRUE,FALSE,Arabic,TRUE
공혁준 (rhdgurwns),289103100,76590,40001,3828,289455,67061,12487303,TRUE,FALSE,Korean,TRUE
limit_maximum,288857850,85905,124818,1886,162040,70116,5965543,TRUE,TRUE,English,TRUE
ElRichMC,288441015,31155,95938,9062,688715,431071,8120275,TRUE,FALSE,Spanish,TRUE
guit88man,287764245,140685,7681,1989,144898,25130,8666012,TRUE,TRUE,Russian,TRUE
RaizQT,286839210,121965,15185,2164,167584,31194,5190502,TRUE,FALSE,English,TRUE
ReventXz,286819950,84330,47282,3073,362062,219868,8050871,TRUE,FALSE,Spanish,TRUE
PatoPapao,286740930,100470,11694,2795,656860,116753,8955254,TRUE,FALSE,Portuguese,TRUE
Replays,285932205,140220,16193,1983,871405,449727,5185473,TRUE,FALSE,English,TRUE
cdewx,284645955,139140,23448,1904,380159,50596,8015709,TRUE,FALSE,English,TRUE
亞洲統神 (asiagodtonegg3be0),284354865,63645,18594,4426,494643,22853,11106574,TRUE,FALSE,Chinese,TRUE
BotezLive,283479405,115845,36278,1985,330772,280964,12851602,TRUE,FALSE,English,TRUE
Conterstine,283398825,92805,18090,2557,386804,375789,5308302,TRUE,FALSE,Spanish,TRUE
BeyondTheSummit_PT,282753480,339000,49496,807,203549,60955,9694977,TRUE,FALSE,Portuguese,TRUE
AlphaCast,281533785,84165,28898,3046,411993,152951,8864009,TRUE,TRUE,French,TRUE
DownToQuest,281365035,513540,20723,543,82299,53724,3524088,TRUE,TRUE,English,TRUE
똘똘똘이_ (jungtaejune),280810635,165945,6787,1649,124835,15713,8660860,TRUE,FALSE,Korean,TRUE
PENTA,280798065,116745,7172,2322,152821,40474,2786097,TRUE,TRUE,English,TRUE
thedarkness,280707810,155595,7440,1914,536792,138160,7628946,TRUE,FALSE,Portuguese,TRUE
uhSnow,280296045,88500,8375,3150,134611,43869,3334788,TRUE,TRUE,English,TRUE
JERICHO,280176915,112860,21935,2401,1191987,66665,7582522,TRUE,FALSE,English,TRUE
T90Official,279691620,76395,51422,3379,160226,69044,6886631,TRUE,FALSE,English,TRUE
DanucD,278223765,135030,4439,2045,546052,223147,12048648,TRUE,FALSE,English,TRUE
DisguisedToast,277695945,20325,38169,9892,1340283,192604,5928269,FALSE,FALSE,English,TRUE
DesertHeartsRecords,276313155,64620,24264,3620,85097,84304,58418224,FALSE,FALSE,English,TRUE
Jankos,274889760,45045,18826,5858,573657,271355,9284513,TRUE,FALSE,English,TRUE
GarenaTW,273964050,12435,85416,22130,401222,21388,7818029,TRUE,FALSE,Chinese,TRUE
개복어 (dogswellfish),273920670,161235,10929,1601,215413,37690,10626908,TRUE,FALSE,Korean,TRUE
Sykkuno,272813670,91035,29658,2530,334591,305734,5285377,TRUE,FALSE,English,TRUE
JokerdTV,271815660,120165,319862,2013,159384,157656,9070954,TRUE,TRUE,English,TRUE
A1taOda,269877405,140625,11974,1844,537519,67361,10306828,TRUE,FALSE,Russian,TRUE
livekiss,269518965,517260,7435,520,31323,2447,1641644,TRUE,FALSE,Chinese,TRUE
Jerma985,269372580,57495,15921,4773,334594,92752,3411872,TRUE,TRUE,English,TRUE
KamoLRF,269229795,66330,19264,3948,688868,184854,5731570,TRUE,FALSE,German,TRUE
GoldGlove,268632360,119895,22448,2196,1433703,23684,16902968,TRUE,FALSE,English,TRUE
harbleu,266439435,65775,13230,3926,349467,112349,3527460,TRUE,FALSE,English,TRUE
runthefutmarket,265426125,84945,20746,2999,292812,146753,4266359,TRUE,FALSE,English,TRUE
웁_게임방송 (alenenwooptv),265229580,189900,4290,1418,125615,22295,5390604,TRUE,FALSE,Korean,TRUE
KarmikKoala,262630950,120450,10587,2205,151920,71165,8619663,TRUE,FALSE,Russian,TRUE
JustCooman,262612740,76035,10776,3287,159117,89413,7809170,TRUE,FALSE,Russian,TRUE
IamCristinini,262492530,135240,7943,1906,398634,218848,12690137,TRUE,FALSE,Spanish,TRUE
Xop0,262276575,235920,4074,1110,94751,50725,18709302,FALSE,FALSE,Russian,TRUE
Warframe,262160025,13740,346131,12843,1254031,282680,5405191,TRUE,FALSE,English,TRUE
Smoke,261617925,100050,25500,2331,166007,53212,2955403,TRUE,FALSE,English,TRUE
Moondye7,261610875,97350,22231,2530,306920,39732,6839587,TRUE,FALSE,German,TRUE
jean_mago,261252810,113445,11418,2012,342691,269837,7609872,TRUE,FALSE,Portuguese,TRUE
mL7support,260845395,115380,9038,2124,342850,140872,5387428,TRUE,FALSE,English,TRUE
KriszhAdvice,258011790,147675,28709,1593,284899,97984,6927865,TRUE,FALSE,Hungarian,TRUE
QuickyBaby,255820995,118710,11077,2207,416329,45998,5642381,TRUE,FALSE,English,TRUE
aDrive,255087615,101085,14637,1692,461081,117274,3858228,TRUE,FALSE,English,TRUE
Ampeterby7,254852265,27480,43882,9301,1194476,1185647,6513197,FALSE,FALSE,Spanish,TRUE
KabajiOW,254772135,72240,13865,3252,369667,87338,4098475,TRUE,TRUE,English,TRUE
SNEUX,254717640,57510,30067,3748,196635,155555,4540889,TRUE,FALSE,Spanish,TRUE
TrU3Ta1ent,254345355,113745,10901,2204,595939,101235,6614948,TRUE,FALSE,English,TRUE
OgamingSC2,253498875,484455,11457,547,105368,11075,15776556,TRUE,FALSE,French,TRUE
머독 (ajehr),252452325,76575,11117,3292,362794,86655,5623906,TRUE,FALSE,Korean,TRUE
cyr,252345645,146190,19267,1678,182107,49771,4106827,TRUE,TRUE,English,TRUE
MrSavage,251627985,33030,31525,6883,1651212,734583,9931629,TRUE,FALSE,English,TRUE
Perxitaa,251497200,30330,55418,8010,689582,669977,7036771,TRUE,FALSE,Spanish,TRUE
IlloJuan,251067885,60495,24315,4087,275174,178705,5676686,TRUE,FALSE,Spanish,TRUE
masondota2,250624350,83205,8377,2882,104526,39906,3406472,TRUE,FALSE,English,TRUE
Annoying,250297065,64290,17361,3884,431285,158587,1799471,TRUE,FALSE,English,TRUE
고차비 (kumikomii),249821475,152370,5227,1615,177741,62122,5979126,TRUE,FALSE,Korean,TRUE
Manyrin,249488880,109125,17140,2284,449520,146381,11128490,TRUE,FALSE,Russian,TRUE
1DrakoNz,249476295,99180,15242,2655,373375,252999,6950267,TRUE,TRUE,Portuguese,TRUE
Pace22,247862850,156975,10350,1524,171871,112723,3080537,TRUE,TRUE,English,TRUE
Rammus53,247730100,104520,16370,2217,978645,332303,11041262,TRUE,TRUE,Turkish,TRUE
SaltyTeemo,247613265,517980,1803,476,173196,36103,2117741,FALSE,FALSE,English,TRUE
Odablock,247535550,101595,29397,2336,131966,92477,4228405,TRUE,FALSE,English,TRUE
MckyTV,247481385,65025,49791,3599,722041,256660,9947455,TRUE,FALSE,German,TRUE
Calebhart42,246974370,124830,6763,1808,177595,13410,2533119,TRUE,FALSE,English,TRUE
MacieJay,246761880,107805,7318,2249,835787,195140,5353692,TRUE,FALSE,English,TRUE
R6esportsBR,246712590,47100,60386,4021,323856,98848,5855733,TRUE,FALSE,Portuguese,TRUE
chistor_,246342825,128430,7099,1838,89608,30354,5658271,TRUE,FALSE,Russian,TRUE
Kephrii,245934495,165135,8709,1297,559647,102990,5923710,TRUE,FALSE,English,TRUE
FEDMYSTER,245399790,24945,35011,9086,609723,284967,5176805,TRUE,FALSE,English,TRUE
Gosu,244854375,64590,16362,3502,1751290,185952,9377658,TRUE,FALSE,English,TRUE
supertf,244635645,90585,9118,2526,196136,139939,3551440,TRUE,FALSE,English,TRUE
MoMaN,244502235,145755,16550,1363,360418,120693,8390437,TRUE,TRUE,French,TRUE
Kotton,244412715,73005,58818,2757,253065,80920,4459178,TRUE,TRUE,English,TRUE
saintvicious,244262295,168030,5370,1422,247236,44436,3133396,TRUE,FALSE,English,TRUE
winstrike_tv,243711495,19695,153252,12058,148183,148055,8767404,TRUE,FALSE,Russian,TRUE
pijack11,243578730,148140,8181,1569,252717,144993,6752832,TRUE,TRUE,Portuguese,TRUE
pqueen,243465255,88965,11976,2602,485787,328149,8544093,TRUE,FALSE,Turkish,TRUE
Northernlion,242833140,60855,9312,3968,359260,22629,3384340,TRUE,FALSE,English,TRUE
Nattank,241616550,144480,8770,1537,86544,67207,8232442,TRUE,TRUE,Portuguese,TRUE
bmkibler,241615470,103230,15034,2247,475075,23971,5087052,TRUE,FALSE,English,TRUE
Arteezy,240834885,12285,31009,19681,634982,99726,3776042,TRUE,TRUE,English,TRUE
선바 (sunbaking),240663180,86235,8260,2762,251416,98720,3298202,TRUE,FALSE,Korean,TRUE
flamuu,239018790,126915,5242,1851,117425,36301,3225407,TRUE,TRUE,English,TRUE
Mixwell,238993935,52905,23552,4219,331208,271798,6539837,TRUE,FALSE,Spanish,TRUE
AntoineDanielLive,238217145,54870,16671,3964,416920,272263,6778234,TRUE,FALSE,French,TRUE
G4G_REVENANT,237767160,82110,14376,2947,284620,69353,6608568,TRUE,FALSE,Spanish,TRUE
maxim,236707830,71685,21262,3173,312566,129119,5439874,TRUE,TRUE,German,TRUE
양띵 (yd0821),236218920,28275,38412,8075,279864,56233,1901665,TRUE,FALSE,Korean,TRUE
c9judite,235689105,364425,8210,644,105341,84754,7982996,TRUE,FALSE,Portuguese,TRUE
WOKE,235303170,51600,50598,3827,107484,105725,3460437,TRUE,TRUE,English,TRUE
Amaz,235255500,84525,12652,2764,915023,-5405,4237993,TRUE,FALSE,English,TRUE
ESL_SC2,234726075,278745,40072,1414,305311,36130,5674624,TRUE,FALSE,English,TRUE
CooLifeGame,234307740,47010,15459,4415,395859,167356,5764214,TRUE,FALSE,Spanish,TRUE
BruceGrannec,234104805,78270,11287,3011,463188,95268,5973378,TRUE,FALSE,French,TRUE
CuteDog_,234058290,207090,7016,1104,113658,22074,3489772,TRUE,TRUE,English,TRUE
大丸 (wtf_winds123),233395950,92775,11975,2410,259338,32952,9883708,TRUE,FALSE,Chinese,TRUE
theRealShooKon3,233210205,166260,6148,1333,126282,37207,2944974,TRUE,TRUE,English,TRUE
Albralelie,232815960,128580,18730,1668,240030,216977,5392597,TRUE,FALSE,English,TRUE
룩삼 (looksam),232224165,75030,32222,3302,285474,14351,7901792,TRUE,FALSE,Korean,TRUE
GTimeTV,232140015,187335,14110,1022,665021,155419,5838039,TRUE,TRUE,German,TRUE
WagamamaTV,231985905,178470,7377,1268,312799,20933,3880798,TRUE,FALSE,English,TRUE
sleepy,231452460,107280,8855,2103,317125,254462,3295029,TRUE,FALSE,English,TRUE
FifaTargrean,231025755,170820,6721,1353,396862,66121,7798628,TRUE,FALSE,Thai,TRUE
GrandPOObear,231011760,101175,13295,2230,253619,44926,3877237,TRUE,TRUE,English,TRUE
Pun1shers_TV,230552955,123345,6289,1961,82289,51159,4148542,TRUE,FALSE,Greek,TRUE
gamelifeow,229805670,99600,37939,1659,234471,169229,8373012,TRUE,FALSE,Russian,TRUE
Sh4dowehhh,229762950,112875,11788,2012,84234,70619,6477747,TRUE,FALSE,Russian,TRUE
LuluLuvely,229749045,107070,10110,2178,431852,360592,6019198,TRUE,FALSE,English,TRUE
Swifty,229431480,122160,19884,1572,615027,71011,8647522,TRUE,FALSE,English,TRUE
Mibrtv,228640020,82620,151094,3310,250709,242229,6671227,TRUE,FALSE,Portuguese,TRUE
PsheroTV,228376905,184215,10739,1166,202779,59927,5384623,TRUE,TRUE,English,TRUE
bytarifaaa,228077640,15390,121009,13435,638657,629175,3651549,TRUE,FALSE,Spanish,TRUE
Alderiate,227675805,69030,11480,3337,319860,80730,5471250,TRUE,FALSE,French,TRUE
Solaaaa,227479455,96375,16718,2227,309594,107558,5135340,TRUE,FALSE,German,TRUE
Strippin,227458650,121575,9127,1816,293665,19904,3115313,TRUE,FALSE,English,TRUE
Mendo,226473345,99480,25321,1959,518090,176007,5487693,TRUE,TRUE,English,TRUE
Pikabooirl,225939795,103740,21309,2146,237214,78399,5574448,TRUE,FALSE,English,TRUE
Skadoodle,225401640,89955,30357,2318,611890,219104,5373229,TRUE,TRUE,English,TRUE
MasterSnakou,225243465,124275,12948,1786,448316,73137,6565757,TRUE,FALSE,French,TRUE
루시아 (lucia94),224762820,141705,8886,1603,82578,37026,5801449,TRUE,FALSE,Korean,TRUE
Otzdarva,222546390,91905,14940,2387,262104,146762,3176930,TRUE,FALSE,English,TRUE
꽃핀 (cherrypach),222377040,94125,10985,2369,240835,90457,6606649,TRUE,FALSE,Korean,TRUE
Opat04,222161730,116775,9497,1814,178477,109720,6632006,TRUE,FALSE,Czech,TRUE
icebergdoto,221837100,52380,16441,3746,171113,84551,6944929,TRUE,FALSE,Russian,TRUE
P4wnyhof,221823735,181830,7196,1205,489174,6719,6891131,TRUE,FALSE,German,TRUE
Mazarin1k,220905615,202410,9605,780,205378,68292,9980766,TRUE,FALSE,Czech,TRUE
김뚜띠_ (kimdduddi),219998175,90750,7244,2318,149158,67954,3549865,TRUE,FALSE,Korean,TRUE
옥냥이 (rooftopcat99),218888325,92805,8794,2256,214028,59213,5969221,TRUE,FALSE,Korean,TRUE
KingGothalion,218707740,34875,41994,5792,1015521,44907,3349456,TRUE,FALSE,English,TRUE
ItsSlikeR,218576850,95655,12762,2317,283503,154360,5243404,TRUE,TRUE,English,TRUE
Alinity,218509065,90150,17341,2441,1203324,255987,13908506,TRUE,FALSE,English,TRUE
TidesofTime,218415420,88485,12457,2104,251700,27110,2240586,TRUE,FALSE,English,TRUE
GernaderJake,218318010,146295,21162,1347,295771,70693,8847646,TRUE,FALSE,English,TRUE
スタンミ (sutanmi),217833015,80190,7854,2683,53124,16505,3473483,TRUE,FALSE,Japanese,TRUE
DarioMocciaTwitch,217475940,103995,8160,1749,114376,96707,4356099,TRUE,FALSE,Italian,TRUE
bebe872,217343400,212205,4965,1087,70232,51251,2383295,TRUE,FALSE,English,TRUE
Lasqa,216969405,72210,10010,2863,135446,25351,5298356,TRUE,TRUE,Russian,TRUE
六希夫 (qttsix),216951540,154035,9671,1412,118305,23620,8174656,TRUE,FALSE,Chinese,TRUE
Flight23white,216792240,31455,74388,7522,828896,704583,2016920,TRUE,FALSE,English,TRUE
Heelmike,216316170,101400,18963,2115,308927,208795,3406743,TRUE,TRUE,English,TRUE
OGADotaPIT,216072855,18705,60846,10161,157820,48664,8333671,TRUE,FALSE,English,TRUE
SoloRenektonOnly,215806260,122985,5118,1735,391603,74554,4581141,TRUE,FALSE,English,TRUE
OfficialAndyPyro,215726910,209625,9676,1027,255595,29422,10284627,TRUE,TRUE,Finnish,TRUE
k3soju,215233395,125865,7504,1647,76666,70939,2609837,TRUE,FALSE,English,TRUE
SkyrrozTV,215122605,85890,17061,2185,597890,216436,6233611,TRUE,FALSE,French,TRUE
LeBouseuh,214699305,61455,24497,3678,988237,351530,4545514,TRUE,FALSE,French,TRUE
BikeMan,214504440,136845,7223,1486,264192,11101,3531376,TRUE,TRUE,English,TRUE
Rubini,214130175,161985,5521,1284,102528,43426,7976244,TRUE,TRUE,Portuguese,TRUE
JLWaliid,213819030,94875,19603,2239,272391,246417,4345817,TRUE,FALSE,French,TRUE
qSnake,212541900,152955,5441,1389,200878,37641,6296155,TRUE,FALSE,Russian,TRUE
Criken,212449905,113040,11050,1828,285509,32753,3593487,TRUE,TRUE,English,TRUE
Loserfruit,212318190,99525,42374,1816,1869993,790345,10477877,TRUE,FALSE,English,TRUE
Broxah,212141310,46605,13137,4269,317896,209200,5351294,TRUE,FALSE,English,TRUE
JonVlogs,212114490,81180,21617,2239,480299,261559,3260166,TRUE,FALSE,Portuguese,TRUE
ImSoFresh,211617645,180060,5788,1119,111954,36095,3673955,TRUE,FALSE,French,TRUE
BeBePtv,211307910,110010,14353,1865,57205,24674,63847323,TRUE,FALSE,Russian,TRUE
TrilluXe,210899220,79170,27943,2095,412495,95629,7212835,TRUE,FALSE,German,TRUE
