Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Giveaways
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,TRUE,FALSE,English,TRUE
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,TRUE,TRUE,English,TRUE
Trymacs,1184154975,107880,50957,10735,1607134,582089,21254933,TRUE,FALSE,German,TRUE
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,TRUE,TRUE,English,TRUE
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,TRUE,FALSE,English,TRUE
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,TRUE,FALSE,English,TRUE
fps_shaka,1131509385,215160,26572,5195,303671,128907,21331882,TRUE,FALSE,Japanese,TRUE
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,TRUE,FALSE,Spanish,TRUE
Vader,1110952500,184305,16289,5913,424374,57681,11535871,TRUE,TRUE,English,TRUE
forsen,1106781045,109140,33966,10080,1308165,164792,18534278,TRUE,TRUE,English,TRUE
Papaplatte,1105525440,125550,42230,8546,919026,552959,23472239,TRUE,FALSE,German,TRUE
StarLadder_cs_en,1088832810,32880,329195,29956,820675,260993,29821162,TRUE,FALSE,English,TRUE
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,TRUE,TRUE,English,TRUE
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,TRUE,FALSE,English,TRUE
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,TRUE,FALSE,English,TRUE
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,TRUE,TRUE,English,TRUE
stylishnoob4,1029543660,118515,25263,8485,354579,124038,20638084,TRUE,FALSE,Japanese,TRUE
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,TRUE,FALSE,English,TRUE
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,TRUE,TRUE,English,TRUE
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,TRUE,FALSE,English,TRUE
GRONKH,1017544335,54645,100330,17860,1216020,192000,16800930,TRUE,FALSE,German,TRUE
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,TRUE,FALSE,English,TRUE
ZeratoR,1011013035,84960,262273,10516,880728,240442,31456198,TRUE,TRUE,French,TRUE
SilverName,1006608690,95625,29927,10618,614395,108466,27464678,TRUE,FALSE,Russian,TRUE
Sacriel,1002681105,163095,66781,5573,672403,136341,60194490,TRUE,FALSE,English,TRUE
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,TRUE,FALSE,English,TRUE
Stray228,972961650,93750,36971,10290,773712,197486,23738903,TRUE,FALSE,Russian,TRUE
AdmiralBulldog,972317520,154845,16681,6198,694253,66513,17095676,TRUE,TRUE,English,TRUE
